Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"IC3","PCA9952TW_Q900,118","SOP65P640X110-29N",124.460000,-90.932000,90.000000,top
"IC4","FT201XS-R","SOP64P599X175-16N",124.968000,-46.228000,0.000000,top
